"","Precinct","RegisteredVoters","BallotsCast","Turnout","Bill Schuette / Lisa Posthumus Lyons (REP)","Gretchen Whitmer / Garlin D. Gilchrist II (DEM)
","Bill Gelineau / Angelique Chaiser Thomas (LIB)","Todd Schleiger / Earl P. Lackie (UST)","Jennifer V. Kurland / Charin H. Davenport (GRN)","Keith Butkovich / Raymond Warner (NLP)","Mary Treder Lang (REP)","Jocelyn Benson (DEM)","Gregory Scott Stempfle (LIB)","Robert Gale (UST)","Tom Leonard (REP)","Dana Nessel (DEM)","Lisa Lane Gioia (LIB)","Gerald T. Van Sickle (UST)","Chris Graveline (NPA)","John James (REP)","Debbie Stabenow (DEM)","George E. Huffman III (UST)","Marcia Squier (GRN)","John Howard Wilhelm (NLP)","Bill Huizenga (REP)","Rob Davidson (DEM)","Ronald E. Graeser (UST)","Justin Amash (REP)","Cathy Albro (DEM)","Ted Gerrard (UST)","Aric Nesbitt (REP)","Garnet Lewis (DEM)","Erwin Haas (LIB)","Robert M. Alway (GRN)","Peter MacGregor (REP)","Craig Beach (DEM)","Nathan Hewer (LIB)","Chris Afendoulis (REP)","Winnie Brinks (DEM)","Robert VanNoller (LIB)","Louis Palus (WCP)","Steven Johnson (REP)","Ron Draayer (DEM)","Jamie Lewis (LIB)","Lynn Afendoulis (REP)","Bill Saxton (DEM)","Mark E. Huizenga (REP)","Meagan L. Carr (DEM)","Daniel Allen Schutte (REP)","David LaGrand (DEM)","Jacob Straley (GRN)","Amanda Brand (REP)","Rachel Hood (DEM)","Tommy Brann (REP)","Dana Knight (DEM)","Patty Malowney (LIB)","Brandon Hoezee (UST)","Thomas A. Albert (REP)","Lauren Taylor (DEM)","Sue Norman (NPA)","Tami Carlone (REP)","Richard Zeile (REP)","Judith P. Pritchett (DEM)","Tiffany Tilley (DEM)","Scotty Boman (LIB)","John J. Tatar (LIB)","Karen Adams (UST)","Douglas Levesque (UST)","Sherry A. Wells (GRN)","Mary Anne Hering (WCP)","Logan R. Smith (WCP)","AndreaFischer
          Newman  (REP)
","Andrew
          Richner (REP)
","Jordan
          Acker (DEM)
","Paul
          Brown (DEM)
","JamesLewis
          Hudler (LIB)
","John
          Jascob (LIB)
","Joe
          Sanger (UST)
","CrystalVan
          Sickle (UST)
","KevinA.
          Graves (GRN)
","MargeKatchmark
          Sallows (NLP)
","Dave
            Dutch (REP)
","Mike
            Miller (REP)
","BriannaT.
            Scott (DEM)
","KellyCharron
            Tebay  (DEM)
","Bruce
            Campbell  (LIB)
","Tim
            Orzechowski  (LIB)
","JanetM.
            Sanger  (UST)
","JohnPaul
            Sanger  (UST)
","Aaron
            Mariasy  (GRN)
","BridgetteR.
            Abraham-Guzman (NLP)
","Diane
           Dunaskiss (REP)
","David
           Nicholson (REP)
","BryanC.
           Barnhill (DEM)
","Anil
           Kumar (DEM)
","Jon
           Elgas  (LIB)
","JohnT.
           Hargenrader  (LIB)
","ChristineC.
           Schwartz (UST)
","MarcJoseph
           Sosnowski  (UST)
","TheodoreVonk  (REP)","DeborahHavens  (DEM)","EmilyPostBrieve  (REP)","JimSaalfeld  (REP)","AugustTreu  (DEM)","JillMartinez  (REP)","MonicaSparks  (DEM)","CharlotteAikens  (GRN)","JessicaAnnTyson  (REP)","BetsyMelton   (DEM)","KyleBrethauer  (REP)","CarolM.Hennessy  (DEM)","JoelHerbertTownsend  (REP)","JimTalen  (DEM)","JennaVandeKamp  (REP)","DavidBulkowski  (DEM)","CourtneyPanter  (REP)","RobertWomack  (DEM)","DanKoorndyk  (REP)","StephenWooden  (DEM)","LaurelAbraham  (REP)","PhilSkaggs  (DEM)","ThomasAntor  (REP)","JeremiahAnway  (DEM)","RogerC.Morgan  (REP)","DianeJones  (REP)","KariSmith  (DEM)","MandyBolter  (REP)","NevilleJ.Mark  (DEM)","StanStek  (REP)","PamDeGryse  (DEM)","StanPonstein  (REP)","MikeJohnson  (DEM)","HaroldVoorhees  (REP)","MattKallman  (REP)","BobSmith  (DEM)"
"211","Tyrone Township Precinct 2",1401,819,"58%",516,273,7,4,5,1,512,260,14,8,534,217,15,11,9,517,261,7,14,4,NA,NA,NA,542,228,19,NA,NA,NA,NA,538,231,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,536,247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,449,397,202,203,17,11,19,11,16,35,14,443,406,194,193,11,9,14,30,8,12,402,429,210,186,20,8,30,13,6,8,420,418,189,173,20,8,29,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","Vergennes Township Precinct 1",1870,1365,"72%",851,463,24,3,5,4,849,439,28,11,857,408,30,12,12,856,473,9,5,3,NA,NA,NA,891,399,30,NA,NA,NA,NA,863,407,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,874,401,29,759,704,371,357,42,22,23,13,13,25,16,723,704,341,315,35,36,15,34,21,15,718,705,351,333,39,30,30,20,9,10,731,669,328,314,43,27,36,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,817,405,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","Vergennes Township Precinct 2",1653,1167,"70%",683,443,16,3,4,4,689,419,20,8,696,376,24,10,23,707,424,6,7,1,NA,NA,NA,748,357,19,NA,NA,NA,NA,700,387,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,705,377,34,614,556,356,344,25,21,14,9,9,34,22,596,551,321,307,26,28,11,27,18,19,570,567,339,315,33,24,23,16,12,15,584,531,315,299,34,22,35,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,666,374,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","Walker Ward 1 Precinct 1",2037,997,"48%",352,586,28,5,12,3,349,571,34,19,362,530,41,8,21,386,556,8,24,5,374,576,22,NA,NA,NA,NA,NA,NA,NA,371,542,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,385,567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,310,280,464,470,43,29,18,8,27,48,37,303,286,470,432,35,27,16,31,29,23,295,280,494,431,40,32,26,7,17,19,303,275,443,432,42,30,41,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,357,557,NA,NA,NA,NA,NA
"215","Walker Ward 1 Precinct 2",1733,1176,"67%",593,533,19,5,10,1,582,532,24,9,631,443,32,14,16,606,521,11,17,4,649,483,15,NA,NA,NA,NA,NA,NA,NA,619,472,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,657,464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,520,484,432,403,40,24,16,7,19,35,27,527,490,414,390,19,24,18,26,17,20,495,495,433,387,37,30,25,18,9,23,524,479,399,366,32,30,35,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,574,480,NA,NA,NA,NA,NA
"216","Walker Ward 1 Precinct 3",1996,1316,"65%",575,673,32,6,10,5,580,642,42,20,619,574,41,12,22,627,633,7,20,8,629,621,23,NA,NA,NA,NA,NA,NA,NA,615,587,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,635,612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,515,475,530,528,52,37,28,10,20,42,31,519,485,496,479,35,32,21,39,22,15,499,485,509,476,41,44,31,24,18,8,508,462,488,455,49,37,39,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,592,583,NA,NA,NA,NA,NA
"217","Walker Ward 2 Precinct 4",2243,1567,"69%",902,624,16,3,9,2,870,616,24,16,907,534,26,13,15,904,612,9,16,4,922,590,21,NA,NA,NA,NA,NA,NA,NA,896,557,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,951,549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,776,694,498,477,43,37,24,14,11,41,24,750,700,451,436,38,37,22,32,16,16,718,706,483,429,42,42,32,18,17,16,728,677,439,397,45,34,45,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,875,527,NA,NA,NA,NA,NA
"218","Walker Ward 2 Precinct 5",1904,1341,"70%",720,566,22,8,10,4,722,534,27,17,771,443,36,12,21,754,541,7,12,5,768,523,11,NA,NA,NA,NA,NA,NA,NA,765,472,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,792,478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,637,602,420,394,45,27,21,7,15,35,16,632,588,401,376,31,24,12,24,18,14,603,597,418,376,30,23,22,15,17,16,612,571,383,368,35,28,41,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,735,452,NA,NA,NA,NA,NA
"219","Walker Ward 2 Precinct 6",1880,1193,"63%",611,510,21,13,11,4,605,496,35,21,643,420,33,12,24,634,497,10,20,10,640,479,28,NA,NA,NA,NA,NA,NA,NA,626,440,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,658,451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,528,497,401,386,46,27,23,9,13,36,30,536,504,381,357,31,31,24,33,12,16,505,518,387,360,40,28,26,17,12,13,522,498,368,337,32,24,49,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,617,421,NA,NA,NA,NA,NA
"220","Walker Ward 3 Precinct 7",1966,1352,"68%",645,631,34,6,11,2,651,605,40,8,671,542,40,11,23,707,578,9,15,7,702,578,22,NA,NA,NA,NA,NA,NA,NA,675,561,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,719,550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,566,522,500,487,50,37,20,6,17,28,31,545,533,469,429,36,32,13,25,31,18,526,532,488,426,53,36,15,14,20,20,531,537,448,418,45,35,36,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,656,542,NA,NA,NA,NA,NA
"221","Walker Ward 3 Precinct 8",1759,1268,"72%",772,446,18,4,6,2,766,433,25,12,801,377,25,9,15,793,439,3,9,5,807,423,13,NA,NA,NA,NA,NA,NA,NA,783,400,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,812,396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,690,653,355,330,36,29,23,6,9,30,23,681,658,323,298,26,26,16,25,18,9,657,655,353,317,30,23,23,11,14,7,669,644,300,284,31,28,34,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,779,375,NA,NA,NA,NA,NA
"222","Walker Ward 3 Precinct 9",1981,1274,"64%",632,595,24,5,10,0,626,583,31,11,649,522,35,7,22,661,566,11,20,1,667,573,11,NA,NA,NA,NA,NA,NA,NA,654,552,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,664,560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,575,524,485,459,43,24,17,6,27,36,22,571,517,468,416,31,28,21,37,26,20,538,532,490,446,34,32,20,14,19,15,551,523,437,431,36,29,41,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,656,512,NA,NA,NA,NA,NA
"223","Wyoming Ward 1 Precinct 1",1870,915,"48%",341,534,15,10,4,3,353,503,27,16,359,462,26,12,22,359,508,12,14,9,364,502,32,NA,NA,NA,NA,NA,NA,NA,359,490,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,424,428,20,14,NA,NA,NA,309,259,405,395,25,20,23,3,13,48,28,297,271,391,388,17,20,15,36,16,20,279,277,421,375,28,15,33,10,10,25,300,267,386,369,23,19,40,19,NA,NA,NA,NA,NA,365,487,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","Wyoming Ward 1 Precinct 2",1311,535,"40%",192,302,7,7,14,4,186,302,13,15,186,276,18,12,17,198,302,2,16,5,205,296,14,NA,NA,NA,NA,NA,NA,NA,189,297,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,248,246,14,7,NA,NA,NA,153,134,239,225,15,7,12,6,16,31,21,156,139,238,231,11,11,14,13,14,6,141,148,247,208,14,10,18,9,10,12,149,138,236,223,10,11,21,13,NA,NA,NA,NA,NA,194,292,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","Wyoming Ward 1 Precinct 3",2130,940,"44%",315,576,18,7,10,4,315,555,27,16,331,494,35,20,22,350,536,13,18,9,350,539,25,NA,NA,NA,NA,NA,NA,NA,336,520,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,385,483,21,13,NA,NA,NA,280,244,437,398,26,22,20,6,19,42,29,267,252,428,397,21,26,15,29,23,13,253,257,446,374,28,23,22,14,18,19,278,251,422,371,33,16,34,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,325,525
"226","Wyoming Ward 1 Precinct 4",2019,1071,"53%",479,548,15,2,14,3,461,544,25,9,469,494,26,15,19,478,541,6,22,8,486,528,25,NA,NA,NA,NA,NA,NA,NA,484,503,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,536,466,20,8,NA,NA,NA,406,375,429,391,25,27,14,6,22,49,29,402,369,412,378,29,22,19,26,18,20,384,385,431,379,25,21,24,15,14,23,387,372,398,368,34,26,40,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,451,515
"227","Wyoming Ward 1 Precinct 5",2086,1037,"49%",394,575,22,11,11,4,377,588,27,20,412,518,25,14,30,416,559,13,20,9,422,568,26,NA,NA,NA,NA,NA,NA,NA,400,550,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,488,482,23,16,NA,NA,NA,344,299,461,437,35,8,24,10,14,47,34,341,305,446,442,14,14,19,35,15,22,306,312,480,419,23,24,32,18,17,18,348,289,443,393,23,16,51,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,385,551
